"plot";"subplot";"Plant";"indv";"seeds";"fruits";"x_coor2";"y_coor2";"seed.indv";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
1;"E2";"CETE";1;111;15;"6,5";"2";1665;0;0;0;0;0;"e";70;70;"e";70;0
1;"E3";"LEMA";46;51,5;17;"6,5";"3,5";875,5;0;7;0;2;0;"e";16;16;"e";16;46
1;"E3";"CHFU";1;25;1;"6,5";"3,5";25;0;0;0;3;0;"e";62;62;"e";62;0
1;"E3";"BEMA";12;4;40;"6,5";"3,5";160;0;0;0;0;0;"e";50;50;"e";50;12
1;"E3";"CETE";2;111;25;"6,5";"3,5";2775;0;0;0;0;0;"e";60;60;"e";60;2
1;"E4";"LEMA";49;67;20;"6,5";"5";1340;0;5;0;0;0;"e";23;23;"e";23;49
1;"E4";"BEMA";5;4;20;"6,5";"5";80;0;0;0;0;0;"e";67;67;"e";67;5
1;"E4";"CETE";16;111;26,5;"6,5";"5";2941,5;0;0;0;0;0;"e";56;56;"e";56;16
1;"E5";"LEMA";71;59;12;"6,5";"6,5";708;0;3;0;3;0;"e";22;22;"e";22;71
1;"E5";"BEMA";7;4;114;"6,5";"6,5";456;0;0;0;0;0;"e";86;86;"e";86;7
1;"E5";"CETE";14;111;6;"6,5";"6,5";666;0;0;0;0;0;"e";79;79;"e";79;14
1;"E5";"PUPA";1;23;2;"6,5";"6,5";46;0;0;0;0;0;"e";93;93;"e";93;0
2;"B2";"LEMA";74;54;8;"35";"28";432;0;8;0;5;0;"e";25;25;"e";25;74
2;"B2";"CETE";7;111;16;"35";"28";1776;0;0;0;1;0;"e";92;92;"e";92;7
2;"B2";"CHFU";4;32;2;"35";"28";64;0;0;0;2;0;"e";95;95;"e";95;4
2;"B2";"BEMA";4;4;34;"35";"28";136;0;0;0;0;0;"e";95;95;"e";95;4
2;"B2";"SCLA";1;31;2;"35";"28";62;0;0;0;0;0;"e";98;98;"e";98;1
2;"B3";"LEMA";65;73;6;"35";"29,5";438;0;11;0;2;0;"e";41;41;"e";41;65
2;"B3";"CHFU";1;21;6;"35";"29,5";126;0;0;0;1;0;"e";106;106;"e";106;0
2;"B3";"BEMA";5;4;48;"35";"29,5";192;0;0;0;0;0;"e";101;101;"e";101;5
2;"B3";"CETE";28;111;5;"35";"29,5";555;0;0;0;0;0;"e";78;78;"e";78;28
2;"B3";"PUPA";1;23;5;"35";"29,5";115;0;0;0;0;0;"e";106;106;"e";106;0
2;"B3";"SCLA";1;31;3;"35";"29,5";93;0;0;0;0;0;"e";106;106;"e";106;0
2;"B4";"LEMA";93;50,3333333333333;18;"35";"31";906;0;16;0;0;0;"e";30;30;"e";30;93
2;"B4";"BEMA";12;4;17;"35";"31";68;0;0;0;0;0;"e";111;111;"e";111;12
2;"B4";"CETE";15;111;7;"35";"31";777;0;0;0;0;0;"e";108;108;"e";108;15
2;"B4";"PUPA";1;23;5;"35";"31";115;0;0;0;0;0;"e";122;122;"e";122;1
2;"B4";"SCLA";2;31;1;"35";"31";31;0;0;0;0;0;"e";121;121;"e";121;2
2;"B5";"LEMA";80;63;3;"35";"32,5";189;0;13;0;2;0;"e";46;46;"e";46;80
2;"B5";"BEMA";7;4;18;"35";"32,5";72;0;0;0;0;0;"e";119;119;"e";119;7
2;"B5";"CETE";17;111;6;"35";"32,5";666;0;0;0;0;0;"e";109;109;"e";109;17
2;"B5";"PUPA";1;23;4,5;"35";"32,5";103,5;0;0;0;0;0;"e";126;126;"e";126;0
2;"C2";"LEMA";55;80;19;"36,5";"28";1520;1;4;0;0;0;"e";61;61;"e";61;55
2;"C2";"PUPA";1;1;9;"36,5";"28";9;2;0;0;0;0;"e";116;116;"e";116;0
2;"C2";"CHFU";7;32;2;"36,5";"28";64;0;0;0;2;0;"e";109;109;"e";109;7
2;"C2";"BEMA";9;4;88;"36,5";"28";352;0;0;0;0;0;"e";107;107;"e";107;9
2;"C2";"CETE";11;111;27;"36,5";"28";2997;0;0;0;0;0;"e";105;105;"e";105;11
2;"C2";"SCLA";2;31;2;"36,5";"28";62;0;0;0;0;0;"e";114;114;"e";114;2
2;"C3";"LEMA";50;105,5;4;"36,5";"29,5";422;0;5;0;3;0;"e";30;30;"e";30;50
2;"C3";"BEMA";7;4;62;"36,5";"29,5";248;0;0;0;0;0;"e";73;73;"e";73;7
2;"C3";"CETE";9;111;34;"36,5";"29,5";3774;0;0;0;0;0;"e";71;71;"e";71;9
2;"C3";"CHFU";4;32;3;"36,5";"29,5";96;0;0;0;0;0;"e";76;76;"e";76;4
2;"C3";"PUPA";2;23;5;"36,5";"29,5";115;0;0;0;0;0;"e";78;78;"e";78;2
2;"C3";"SCLA";2;31;2;"36,5";"29,5";62;0;0;0;0;0;"e";78;78;"e";78;2
2;"C4";"LEMA";114;40;10;"36,5";"31";400;0;4;0;4;0;"e";46;46;"e";46;114
2;"C4";"BEMA";10;4;14;"36,5";"31";56;0;0;0;0;0;"e";150;150;"e";150;10
2;"C4";"CETE";33;111;7;"36,5";"31";777;0;0;0;0;0;"e";127;127;"e";127;33
2;"C4";"CHFU";1;32;1;"36,5";"31";32;0;0;0;0;0;"e";160;160;"e";160;0
2;"C4";"PUPA";1;23;4;"36,5";"31";92;0;0;0;0;0;"e";160;160;"e";160;0
2;"C4";"SCLA";1;31;1;"36,5";"31";31;0;0;0;0;0;"e";159;159;"e";159;1
2;"C5";"LEMA";125;111;6;"36,5";"32,5";666;2;6;0;0;0;"e";37;37;"e";37;125
2;"C5";"PUPA";6;21;5,66666666666667;"36,5";"32,5";119;2;0;0;0;0;"e";156;156;"e";156;6
2;"C5";"BEMA";15;4;29;"36,5";"32,5";116;0;0;0;0;0;"e";147;147;"e";147;15
2;"C5";"CETE";8;111;6;"36,5";"32,5";666;0;0;0;0;0;"e";154;154;"e";154;8
2;"C5";"SCLA";1;31;2;"36,5";"32,5";62;0;0;0;0;0;"e";161;161;"e";161;1
2;"D2";"CETE";26;111;6;"38";"28";666;2;0;0;0;0;"e";83;83;"e";83;26
2;"D2";"LEMA";53;48;9;"38";"28";432;1;6;0;0;0;"e";56;56;"e";56;53
2;"D2";"BEMA";16;4;78;"38";"28";312;0;0;0;0;0;"e";93;93;"e";93;16
2;"D2";"SCLA";4;31;2;"38";"28";62;0;0;0;0;0;"e";105;105;"e";105;4
2;"D2";"SOAS";4;55;6;"38";"28";330;0;0;0;0;0;"e";105;105;"e";105;4
2;"D3";"LEMA";47;32;12;"38";"29,5";384;0;4;0;0;0;"e";30;30;"e";30;47
2;"D3";"BEMA";12;4;60;"38";"29,5";240;0;0;0;0;0;"e";65;65;"e";65;12
2;"D3";"CETE";7;111;20;"38";"29,5";2220;0;0;0;0;0;"e";70;70;"e";70;7
2;"D3";"CHFU";2;32;8;"38";"29,5";256;0;0;0;0;0;"e";75;75;"e";75;2
2;"D3";"PUPA";1;23;4;"38";"29,5";92;0;0;0;0;0;"e";77;77;"e";77;0
2;"D3";"SCLA";5;31;2,5;"38";"29,5";77,5;0;0;0;0;0;"e";72;72;"e";72;5
2;"D4";"LEMA";53;29;6;"38";"31";174;0;4;0;0;0;"e";22;22;"e";22;53
2;"D4";"CHFU";1;101;2;"38";"31";202;0;0;0;1;0;"e";75;75;"e";75;0
2;"D4";"BEMA";10;4;16;"38";"31";64;0;0;0;0;0;"e";65;65;"e";65;10
2;"D4";"CETE";8;111;15;"38";"31";1665;0;0;0;0;0;"e";67;67;"e";67;8
2;"D4";"SCLA";1;31;1;"38";"31";31;0;0;0;0;0;"e";75;75;"e";75;0
2;"D5";"LEMA";53;57;10;"38";"32,5";570;1;4;0;0;0;"e";48;48;"e";48;53
2;"D5";"BEMA";21;4;37;"38";"32,5";148;0;0;0;0;0;"e";80;80;"e";80;21
2;"D5";"CETE";19;111;28;"38";"32,5";3108;0;0;0;0;0;"e";82;82;"e";82;19
2;"D5";"PUPA";1;23;4;"38";"32,5";92;0;0;0;0;0;"e";100;100;"e";100;1
2;"D5";"SCLA";6;31;1,5;"38";"32,5";46,5;0;0;0;0;0;"e";95;95;"e";95;6
2;"E2";"CETE";6;111;12;"39,5";"28";1332;2;0;0;0;0;"e";73;73;"e";73;6
2;"E2";"CHFU";1;28;12;"39,5";"28";336;1;0;0;0;0;"e";79;79;"e";79;0
2;"E2";"LEMA";61;110;14;"39,5";"28";1540;0;8;0;3;0;"e";18;18;"e";18;61
2;"E2";"BEMA";9;4;26;"39,5";"28";104;0;0;0;0;0;"e";70;70;"e";70;9
2;"E2";"PUPA";2;23;6;"39,5";"28";138;0;0;0;0;0;"e";77;77;"e";77;2
2;"E3";"LEMA";46;155;6;"39,5";"29,5";930;0;6;0;1;0;"e";37;37;"e";37;46
2;"E3";"CHFU";1;32;12;"39,5";"29,5";384;0;0;0;1;0;"e";83;83;"e";83;0
2;"E3";"BEMA";10;4;15;"39,5";"29,5";60;0;0;0;0;0;"e";73;73;"e";73;10
2;"E3";"CETE";14;111;11;"39,5";"29,5";1221;0;0;0;0;0;"e";69;69;"e";69;14
2;"E3";"SOAS";10;55;14,6666666666667;"39,5";"29,5";806,666666666667;0;0;0;0;0;"e";73;73;"e";73;10
2;"E4";"CETE";11;111;5;"39,5";"31";555;2;0;0;0;0;"e";99;99;"e";99;11
2;"E4";"LEMA";77;18;13;"39,5";"31";234;0;8;0;0;0;"e";33;33;"e";33;77
2;"E4";"BEMA";10;4;66;"39,5";"31";264;0;0;0;0;0;"e";100;100;"e";100;10
2;"E4";"CHFU";2;32;1;"39,5";"31";32;0;0;0;0;0;"e";108;108;"e";108;2
2;"E4";"SCLA";1;31;1;"39,5";"31";31;0;0;0;0;0;"e";109;109;"e";109;1
2;"E4";"SOAS";9;55;7;"39,5";"31";385;0;0;0;0;0;"e";101;101;"e";101;9
2;"E5";"LEMA";41;45,5;14;"39,5";"32,5";637;1;6;0;0;0;"e";32;32;"e";32;41
2;"E5";"CETE";7;111;5;"39,5";"32,5";555;0;0;0;2;0;"e";66;66;"e";66;7
2;"E5";"BEMA";10;4;80;"39,5";"32,5";320;0;0;0;0;0;"e";63;63;"e";63;10
2;"E5";"PUPA";1;23;9;"39,5";"32,5";207;0;0;0;0;0;"e";72;72;"e";72;1
2;"E5";"SCLA";9;31;3;"39,5";"32,5";93;0;0;0;0;0;"e";64;64;"e";64;9
3;"B2";"LEMA";8;58;3;"80";"56";174;0;2;0;0;0;"e";195;195;"e";195;8
