"plot";"subplot";"Group";"Plant";"indv";"seeds";"fruits";"vis"
1;"E5";"Beetle";"LEMA";71;708;12;3
1;"E5";"Fly";"LEMA";71;708;12;3
1;"E5";NA;"BEMA";7;456;114;0
1;"E5";NA;"CETE";14;666;6;0
1;"E5";NA;"PUPA";1;46;2;0
1;"E6";"Beetle";"LEMA";63;944,117647058823;15,7352941176471;6
1;"E6";NA;"BEMA";4;208;52;0
1;"F1";"Beetle";"LEMA";26;224;4;7
1;"F1";NA;"BEMA";5;216;54;0
1;"F1";NA;"CETE";1;1887;17;0
1;"F1";NA;"SOAS";1;770;14;0
1;"F2";"Bee";"CHFU";1;401,882352941176;12,5588235294118;1
1;"F2";"Beetle";"LEMA";44;720;12;9
1;"F2";"Fly";"LEMA";44;720;12;1
1;"F2";NA;"BEMA";7;468;117;0
1;"F2";NA;"CETE";3;7215;65;0
1;"F3";"Beetle";"LEMA";34;1089;18;6
1;"F3";"Fly";"CHFU";1;144;4,5;1
1;"F3";"Fly";"LEMA";34;1089;18;3
1;"F3";NA;"BEMA";6;280;70;0
1;"F3";NA;"CETE";2;1665;15;0
1;"F4";"Beetle";"LEMA";69;1704;24;11
1;"F4";"Fly";"LEMA";69;1704;24;6
1;"F4";NA;"BEMA";8;328;82;0
1;"F4";NA;"CETE";4;1887;17;0
1;"F4";NA;"CHFU";1;32;1;0
1;"F5";"Bee";"LEMA";62;245;5;1
1;"F5";"Beetle";"LEMA";62;245;5;5
1;"F5";"Fly";"CHFU";1;32;1;2
1;"F5";NA;"BEMA";4;240;60;0
1;"F5";NA;"CETE";2;2997;27;0
1;"F5";NA;"PUPA";7;517,5;22,5;0
1;"F6";"Bee";"LEMA";55;372;6;5
1;"F6";"Bee";"PUPA";2;287,5;12,5;3
1;"F6";"Beetle";"LEMA";55;372;6;4
1;"F6";NA;"BEMA";6;924;231;0
1;"F6";NA;"CETE";1;666;6;0
1;"F6";NA;"SCLA";1;155;5;0
2;"A1";"Beetle";"LEMA";74;756;6;4
2;"A1";NA;"BEMA";6;216;54;0
2;"A1";NA;"CETE";3;222;2;0
2;"A1";NA;"PUPA";1;828;36;0
2;"A1";NA;"SCLA";2;77,5;2,5;0
2;"A2";"Bee";"PUPA";2;611;13;1
2;"A2";"Beetle";"LEMA";78;462;6;6
2;"A2";"Fly";"CHFU";4;139,555555555556;4,36111111111111;4
2;"A2";"Fly";"LEMA";78;462;6;1
2;"A2";NA;"BEMA";4;64;16;0
2;"A2";NA;"CETE";8;1887;17;0
2;"A2";NA;"SCLA";1;124;4;0
2;"A3";"Beetle";"LEMA";83;744;12;5
2;"A3";"Fly";"CETE";23;3990;21;1
2;"A3";"Fly";"CHFU";5;6,5;6,5;1
2;"A3";NA;"BEMA";5;80;20;0
2;"A3";NA;"PUPA";2;92;4;0
2;"A4";"Beetle";"LEMA";100;329;7;3
2;"A4";NA;"CETE";12;1221;11;0
2;"A4";NA;"CHFU";1;96;3;0
2;"A4";NA;"PUPA";2;126,5;5,5;0
2;"A5";"Bee";"PUPA";3;156;6,5;2
2;"A5";"Beetle";"LEMA";92;195;3;2
2;"A5";"Fly";"CETE";17;1488;8;2
2;"A5";"Fly";"CHFU";1;32;1;1
2;"A5";NA;"BEMA";9;68;17;0
2;"A6";"Beetle";"LEMA";115;409,571428571429;8,71428571428571;3
2;"A6";"Fly";"LEMA";115;409,571428571429;8,71428571428571;3
2;"A6";"Fly";"PUPA";4;312;12;2
2;"A6";NA;"BEMA";6;56;14;0
2;"A6";NA;"CETE";18;999;9;0
2;"A6";NA;"SCLA";15;62;2;0
2;"B1";"Beetle";"LEMA";80;812;14;6
2;"B1";"Fly";"CETE";3;444;4;1
2;"B1";"Fly";"LEMA";80;812;14;1
2;"B1";"Fly";"PUPA";2;594;11;2
2;"B1";NA;"BEMA";7;456;114;0
2;"B1";NA;"CHFU";2;352;11;0
2;"B1";NA;"SCLA";1;31;1;0
2;"B2";"Beetle";"LEMA";74;432;8;8
2;"B2";"Fly";"CETE";7;1776;16;1
2;"B2";"Fly";"CHFU";4;64;2;2
2;"B2";"Fly";"LEMA";74;432;8;5
2;"B2";NA;"BEMA";4;136;34;0
2;"B2";NA;"SCLA";1;62;2;0
2;"B3";"Beetle";"LEMA";65;438;6;11
2;"B3";"Fly";"CHFU";1;126;6;1
2;"B3";"Fly";"LEMA";65;438;6;2
2;"B3";NA;"BEMA";5;192;48;0
2;"B3";NA;"CETE";28;555;5;0
2;"B3";NA;"PUPA";1;115;5;0
2;"B3";NA;"SCLA";1;93;3;0
2;"B4";"Beetle";"LEMA";93;906;18;16
2;"B4";NA;"BEMA";12;68;17;0
2;"B4";NA;"CETE";15;777;7;0
2;"B4";NA;"PUPA";1;115;5;0
2;"B4";NA;"SCLA";2;31;1;0
2;"B5";"Beetle";"LEMA";80;189;3;13
2;"B5";"Fly";"LEMA";80;189;3;2
2;"B5";NA;"BEMA";7;72;18;0
2;"B5";NA;"CETE";17;666;6;0
2;"B5";NA;"PUPA";1;103,5;4,5;0
2;"B6";"Beetle";"LEMA";75;760;10;6
2;"B6";"Fly";"LEMA";75;760;10;5
2;"B6";NA;"BEMA";6;48;12;0
2;"B6";NA;"CETE";10;7326;66;0
2;"B6";NA;"SCLA";3;62;2;0
2;"C1";"Fly";"CHFU";12;64;2;3
2;"C1";NA;"BEMA";7;28;7;0
2;"C1";NA;"CETE";8;3885;35;0
2;"C1";NA;"LEMA";44;406;7;0
2;"C1";NA;"PUPA";3;138;6;0
2;"C1";NA;"SCLA";1;62;2;0
2;"C2";"Bee";"LEMA";55;1520;19;1
2;"C2";"Bee";"PUPA";1;9;9;2
2;"C2";"Beetle";"LEMA";55;1520;19;4
2;"C2";"Fly";"CHFU";7;64;2;2
2;"C2";NA;"BEMA";9;352;88;0
2;"C2";NA;"CETE";11;2997;27;0
2;"C2";NA;"SCLA";2;62;2;0
2;"C3";"Beetle";"LEMA";50;422;4;5
2;"C3";"Fly";"LEMA";50;422;4;3
2;"C3";NA;"BEMA";7;248;62;0
2;"C3";NA;"CETE";9;3774;34;0
2;"C3";NA;"CHFU";4;96;3;0
2;"C3";NA;"PUPA";2;115;5;0
2;"C3";NA;"SCLA";2;62;2;0
2;"C4";"Beetle";"LEMA";114;400;10;4
2;"C4";"Fly";"LEMA";114;400;10;4
2;"C4";NA;"BEMA";10;56;14;0
2;"C4";NA;"CETE";33;777;7;0
2;"C4";NA;"CHFU";1;32;1;0
2;"C4";NA;"PUPA";1;92;4;0
2;"C4";NA;"SCLA";1;31;1;0
2;"C5";"Bee";"LEMA";125;666;6;2
2;"C5";"Bee";"PUPA";6;119;5,66666666666667;2
2;"C5";"Beetle";"LEMA";125;666;6;6
2;"C5";NA;"BEMA";15;116;29;0
2;"C5";NA;"CETE";8;666;6;0
2;"C5";NA;"SCLA";1;62;2;0
2;"C6";"Bee";"CETE";6;1221;11;1
2;"C6";"Bee";"LEMA";80;410;5;1
2;"C6";"Bee";"PUPA";5;1200;12;4
2;"C6";"Beetle";"LEMA";80;410;5;4
2;"C6";"Fly";"PUPA";5;1200;12;3
2;"C6";NA;"BEMA";6;56;14;0
2;"C6";NA;"SCLA";8;62;2;0
2;"D1";"Bee";"CHFU";1;32;1;1
2;"D1";"Beetle";"LEMA";114;290;5;5
2;"D1";NA;"BEMA";14;72;18;0
2;"D1";NA;"CETE";15;777;7;0
2;"D1";NA;"PUPA";1;207;9;0
2;"D1";NA;"SCLA";3;62;2;0
2;"D2";"Bee";"CETE";26;666;6;2
2;"D2";"Bee";"LEMA";53;432;9;1
2;"D2";"Beetle";"LEMA";53;432;9;6
2;"D2";NA;"BEMA";16;312;78;0
2;"D2";NA;"SCLA";4;62;2;0
2;"D2";NA;"SOAS";4;330;6;0
2;"D3";"Beetle";"LEMA";47;384;12;4
2;"D3";NA;"BEMA";12;240;60;0
2;"D3";NA;"CETE";7;2220;20;0
2;"D3";NA;"CHFU";2;256;8;0
2;"D3";NA;"PUPA";1;92;4;0
2;"D3";NA;"SCLA";5;77,5;2,5;0
2;"D4";"Beetle";"LEMA";53;174;6;4
2;"D4";"Fly";"CHFU";1;202;2;1
2;"D4";NA;"BEMA";10;64;16;0
2;"D4";NA;"CETE";8;1665;15;0
2;"D4";NA;"SCLA";1;31;1;0
2;"D5";"Bee";"LEMA";53;570;10;1
2;"D5";"Beetle";"LEMA";53;570;10;4
2;"D5";NA;"BEMA";21;148;37;0
2;"D5";NA;"CETE";19;3108;28;0
2;"D5";NA;"PUPA";1;92;4;0
2;"D5";NA;"SCLA";6;46,5;1,5;0
2;"D6";"Bee";"LEMA";95;462;6;2
2;"D6";"Beetle";"LEMA";95;462;6;5
2;"D6";NA;"BEMA";8;88;22;0
2;"D6";NA;"CETE";15;2331;21;0
2;"D6";NA;"SCLA";2;31;1;0
2;"E1";"Beetle";"LEMA";84;408;4;8
2;"E1";NA;"BEMA";20;92;23;0
2;"E1";NA;"CETE";12;999;9;0
2;"E1";NA;"PUPA";1;92;4;0
2;"E1";NA;"SCLA";4;124;4;0
2;"E1";NA;"SOAS";1;165;3;0
2;"E2";"Bee";"CETE";6;1332;12;2
2;"E2";"Bee";"CHFU";1;336;12;1
2;"E2";"Beetle";"LEMA";61;1540;14;8
2;"E2";"Fly";"LEMA";61;1540;14;3
2;"E2";NA;"BEMA";9;104;26;0
2;"E2";NA;"PUPA";2;138;6;0
2;"E3";"Beetle";"LEMA";46;930;6;6
2;"E3";"Fly";"CHFU";1;384;12;1
2;"E3";"Fly";"LEMA";46;930;6;1
2;"E3";NA;"BEMA";10;60;15;0
2;"E3";NA;"CETE";14;1221;11;0
2;"E3";NA;"SOAS";10;806,666666666667;14,6666666666667;0
2;"E4";"Bee";"CETE";11;555;5;2
